日期,尖峰負載(MW),備轉容量(MW),備轉容量率(%)
20190301,24689,2371,9.6
20190302,24734,1833,7.41
20190303,24102,2224,9.23
20190304,27688,1895,6.84
20190305,28241,1954,6.92
20190306,28032,1922,6.86
20190307,28147,1868,6.64
20190308,27951,1816,6.5
20190309,25870,2192,8.47
20190310,24801,1823,7.35
20190311,27730,1794,6.47
20190312,27936,1879,6.73
20190313,28145,1923,6.83
20190314,28147,1780,6.26
20190315,27757,1928,6.95
20190316,25318,2518,9.95
20190317,24681,2290,9.28
20190318,28338,1755,6.19
20190319,28882,1805,6.25
20190320,29645,1844,6.22
20190321,30343,1967,6.48
20190322,29618,2341,7.9
20190323,25265,2084,8.25
20190324,24812,1859,7.49
20190325,28535,1853,6.49
20190326,28756,1887,6.56
20190327,29140,1933,6.63
20190328,30093,1892,6.29
20190329,29673,2054,6.92
20190330,25810,2155,6.92
20190331,24700,2230,9.01
20190401,28300,1860,6.56
